PROI,SEXO,MESPAR,ANOPAR,count
26,6,3,2021,101
26,6,4,2021,98
26,6,5,2021,90
26,6,6,2021,83
26,6,7,2021,78
26,6,8,2021,92
26,6,9,2021,85
26,6,10,2021,91
26,6,11,2021,99
26,6,12,2021,83
27,1,1,2021,44
27,1,2,2021,62
27,1,3,2021,69
27,1,4,2021,59
27,1,5,2021,77
27,1,6,2021,65
27,1,7,2021,86
27,1,8,2021,75
27,1,9,2021,70
27,1,10,2021,71
27,1,11,2021,80
27,1,12,2021,63
27,6,1,2021,66
27,6,2,2021,56
27,6,3,2021,72
27,6,4,2021,60
27,6,5,2021,67
27,6,6,2021,62
27,6,7,2021,70
27,6,8,2021,89
27,6,9,2021,70
27,6,10,2021,60
27,6,11,2021,73
27,6,12,2021,68
28,1,1,2021,1842
28,1,2,2021,1923
28,1,3,2021,2375
28,1,4,2021,2233
28,1,5,2021,2239
28,1,6,2021,2388
28,1,7,2021,2476
28,1,8,2021,2318
28,1,9,2021,2421
28,1,10,2021,2345
28,1,11,2021,2214
28,1,12,2021,2267
28,6,1,2021,1729
28,6,2,2021,1739
28,6,3,2021,2192
28,6,4,2021,2007
28,6,5,2021,2108
28,6,6,2021,2126
28,6,7,2021,2355
28,6,8,2021,2191
28,6,9,2021,2325
28,6,10,2021,2138
28,6,11,2021,2181
28,6,12,2021,2154
29,1,1,2021,467
29,1,2,2021,493
29,1,3,2021,565
29,1,4,2021,539
29,1,5,2021,530
29,1,6,2021,574
29,1,7,2021,590
29,1,8,2021,568
29,1,9,2021,595
29,1,10,2021,602
29,1,11,2021,619
29,1,12,2021,514
29,6,1,2021,427
29,6,2,2021,432
29,6,3,2021,550
29,6,4,2021,469
29,6,5,2021,514
29,6,6,2021,535
29,6,7,2021,586
29,6,8,2021,549
29,6,9,2021,520
29,6,10,2021,553
29,6,11,2021,444
29,6,12,2021,508
30,1,1,2021,507
30,1,2,2021,511
30,1,3,2021,593
30,1,4,2021,595
30,1,5,2021,544
30,1,6,2021,566
30,1,7,2021,645
30,1,8,2021,610
30,1,9,2021,662
30,1,10,2021,651
30,1,11,2021,658
30,1,12,2021,575
30,6,1,2021,518
30,6,2,2021,489
30,6,3,2021,608
30,6,4,2021,542
30,6,5,2021,501
30,6,6,2021,500
30,6,7,2021,604
30,6,8,2021,577
30,6,9,2021,628
30,6,10,2021,618
30,6,11,2021,586
30,6,12,2021,587
31,1,1,2021,197
31,1,2,2021,197
31,1,3,2021,224
31,1,4,2021,221
31,1,5,2021,204
31,1,6,2021,196
31,1,7,2021,236
31,1,8,2021,224
31,1,9,2021,258
31,1,10,2021,258
31,1,11,2021,225
31,1,12,2021,200
31,6,1,2021,173
31,6,2,2021,178
31,6,3,2021,205
31,6,4,2021,226
31,6,5,2021,207
31,6,6,2021,192
31,6,7,2021,221
31,6,8,2021,197
31,6,9,2021,227
31,6,10,2021,244
31,6,11,2021,212
31,6,12,2021,200
32,1,1,2021,55
32,1,2,2021,61
32,1,3,2021,60
32,1,4,2021,57
32,1,5,2021,57
32,1,6,2021,61
32,1,7,2021,59
32,1,8,2021,67
32,1,9,2021,63
32,1,10,2021,57
32,1,11,2021,53
32,1,12,2021,59
32,6,1,2021,34
32,6,2,2021,56
32,6,3,2021,59
32,6,4,2021,56
32,6,5,2021,54
32,6,6,2021,81
32,6,7,2021,61
32,6,8,2021,71
32,6,9,2021,63
32,6,10,2021,48
32,6,11,2021,47
32,6,12,2021,41
33,1,1,2021,173
33,1,2,2021,174
33,1,3,2021,227
33,1,4,2021,194
33,1,5,2021,227
33,1,6,2021,185
33,1,7,2021,229
33,1,8,2021,239
33,1,9,2021,235
33,1,10,2021,222
33,1,11,2021,213
33,1,12,2021,223
33,6,1,2021,166
33,6,2,2021,164
33,6,3,2021,196
33,6,4,2021,190
33,6,5,2021,194
33,6,6,2021,189
33,6,7,2021,208
33,6,8,2021,205
33,6,9,2021,230
33,6,10,2021,191
33,6,11,2021,202
33,6,12,2021,188
34,1,1,2021,32
34,1,2,2021,24
34,1,3,2021,26
34,1,4,2021,36
34,1,5,2021,37
34,1,6,2021,30
34,1,7,2021,46
34,1,8,2021,40
34,1,9,2021,32
34,1,10,2021,38
34,1,11,2021,34
34,1,12,2021,33
34,6,1,2021,26
34,6,2,2021,34
34,6,3,2021,41
34,6,4,2021,29
34,6,5,2021,29
34,6,6,2021,26
34,6,7,2021,38
34,6,8,2021,23
34,6,9,2021,43
34,6,10,2021,45
34,6,11,2021,23
34,6,12,2021,40
35,1,1,2021,229
35,1,2,2021,270
35,1,3,2021,300
35,1,4,2021,285
35,1,5,2021,271
35,1,6,2021,271
35,1,7,2021,288
35,1,8,2021,320
35,1,9,2021,316
35,1,10,2021,305
35,1,11,2021,321
35,1,12,2021,329
35,6,1,2021,244
35,6,2,2021,226
35,6,3,2021,279
35,6,4,2021,251
35,6,5,2021,280
35,6,6,2021,227
35,6,7,2021,268
35,6,8,2021,291
35,6,9,2021,277
35,6,10,2021,308
35,6,11,2021,314
35,6,12,2021,335
36,1,1,2021,198
36,1,2,2021,191
36,1,3,2021,237
36,1,4,2021,224
36,1,5,2021,224
36,1,6,2021,254
36,1,7,2021,252
36,1,8,2021,240
36,1,9,2021,245
36,1,10,2021,248
36,1,11,2021,214
36,1,12,2021,259
36,6,1,2021,201
36,6,2,2021,179
36,6,3,2021,244
36,6,4,2021,226
36,6,5,2021,217
36,6,6,2021,207
36,6,7,2021,246
36,6,8,2021,228
36,6,9,2021,234
36,6,10,2021,221
36,6,11,2021,208
36,6,12,2021,220
37,1,1,2021,58
37,1,2,2021,62
37,1,3,2021,68
37,1,4,2021,94
37,1,5,2021,79
37,1,6,2021,83
37,1,7,2021,79
37,1,8,2021,74
37,1,9,2021,80
37,1,10,2021,73
37,1,11,2021,60
37,1,12,2021,82
37,6,1,2021,52
37,6,2,2021,57
37,6,3,2021,65
37,6,4,2021,81
37,6,5,2021,66
37,6,6,2021,71
37,6,7,2021,94
37,6,8,2021,94
37,6,9,2021,85
37,6,10,2021,76
37,6,11,2021,66
37,6,12,2021,75
38,1,1,2021,221
38,1,2,2021,228
38,1,3,2021,264
38,1,4,2021,256
38,1,5,2021,248
38,1,6,2021,236
38,1,7,2021,261
38,1,8,2021,281
38,1,9,2021,288
38,1,10,2021,230
38,1,11,2021,236
38,1,12,2021,258
38,6,1,2021,181
38,6,2,2021,207
38,6,3,2021,216
38,6,4,2021,216
38,6,5,2021,245
38,6,6,2021,238
38,6,7,2021,230
38,6,8,2021,256
38,6,9,2021,248
38,6,10,2021,263
38,6,11,2021,242
38,6,12,2021,245
39,1,1,2021,113
39,1,2,2021,127
39,1,3,2021,128
39,1,4,2021,130
39,1,5,2021,148
39,1,6,2021,149
39,1,7,2021,133
39,1,8,2021,157
39,1,9,2021,161
39,1,10,2021,148
39,1,11,2021,158
39,1,12,2021,138
39,6,1,2021,111
39,6,2,2021,118
39,6,3,2021,130
39,6,4,2021,132
39,6,5,2021,154
39,6,6,2021,136
39,6,7,2021,140
39,6,8,2021,133
39,6,9,2021,143
39,6,10,2021,151
39,6,11,2021,124
39,6,12,2021,134
40,1,1,2021,31
40,1,2,2021,28
40,1,3,2021,41
40,1,4,2021,42
40,1,5,2021,40
40,1,6,2021,45
40,1,7,2021,40
40,1,8,2021,37
40,1,9,2021,38
40,1,10,2021,55
40,1,11,2021,33
40,1,12,2021,46
40,6,1,2021,41
40,6,2,2021,35
40,6,3,2021,37
40,6,4,2021,34
40,6,5,2021,35
40,6,6,2021,39
40,6,7,2021,43
40,6,8,2021,40
40,6,9,2021,36
40,6,10,2021,31
40,6,11,2021,25
40,6,12,2021,39
41,1,1,2021,601
